,accepts_apple_pay,accepts_bitcoin,accepts_credit_cards,accepts_google_pay,alcohol,ambience,attire,best_nights,bike_parking,caters,coat_check,date,delivery,dogs_allowed,gender_neutral_restrooms,good_for,good_for_dancing,good_for_groups,good_for_kids,happy_hour,has_dairy-free_options,has_gluten-free_options,has_pool_table,has_soy-free_options,has_tv,liked_by_vegans,liked_by_vegetarians,noise_level,outdoor_seating,parking,price_range,rating,review,smoking,take-out,takes_reservations,waiter_service,wheelchair_accessible,wi-fi
10,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,8/21/2018,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,5.0,Be prepared to wait a hour to be seated. Love the decor. Food is fabulous. Decor is fun. Eaten there twice and food is great.,,Yes,No,,,Free
11,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,1/24/2018,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,4.0,"I'm not from Oregon but my friend raved about this place so we all went down for brunch. *of course, the line was long but we had checked in and left our number on the waitlist and went back home. About an hour later they texted us and we walked right on in! Starting off with the mimosa, definitely a lot of champagne! (Which is always a great thing!;) they then presented us with a giant cinnamon roll pancake, on the house! So sweet and pretty darn filling! (We split it between 4 people) I had ordered the eggs benedict which were very good! NOT GREAT but I was Pleased:) I'm comparing them to other eggs Benedict I've had before where they load them with plenty of different things on top but i received a pretty plain eggs Benedict on a bed of spinach I believe. The hollandaise sauce really made the dish. The potatoes that came with the plate could have also been a hell of a lot better but even those were plain. I guess I'm just use to very elaborate plates with plenty of ingredients but make no mistake, my tummy was very happy after the meal!",,Yes,No,,,Free
12,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,9/24/2018,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,5.0,Waited almost an hour and a half before getting seated... and let me tell you... Sooooo Worth It!!!  Food was absolutely amazing - had the Incredible Flying Biscuit and the Chicken Fried Porkchop.. I would definitely go back for both of those!!,,Yes,No,,,Free
13,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,8/15/2018,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,5.0,"I ordered the corned beef hash with eggs, a biscuit, and a side pancake. While I wasn't in love with the biscuit, everything else was amazing. The hash was definitely the best I've ever had, with plenty of well-seasoned beef, cabbage done to perfection, and a  general heartiness all around.The buttermilk pancake was excellent. Fluffy, and delicious.My wife loved her Yacht Club sandwich. Plump, definitely-not-calorie-skimping bread, salami, thick bacon, and provolone that had her reeling in a good way.The waitress was also very sweet and personable.  Definitely recommend this spot if you like American breakfast/lunch and are looking to fill up.",,Yes,No,,,Free
14,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,9/13/2018,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,5.0,"Yes, you have to wait for a table sometimes, and it can be up to an hour. Take the paper or a book. Seriously, it's so worth it. Everything is scratch made; their corned beef hash is to die for and their pancakes are, all at once, light and filling. My boyfriend lives their trucker sandwich, and both my picky eaters get excited when we come here.",,Yes,No,,,Free
15,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,9/6/2018,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,3.0,"Went here for the first time the other week and honestly was not the impressed. The wait staff is amazing and friendly, but the food was meh. And I guess this place does something special if it is your first time there which I told them it was but nothing happened. The people next to us though got something and it was their first time too. So that felt like a real F you to me and my friend. Definitely do not feel the need to EVER come back. I'm only giving this place a good star review because the staff that we talked to where super nice!",,Yes,No,,,Free
16,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,9/7/2018,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,5.0,This place is charming and delicious! We sat at the bar and were immediately greeted by the bartender. Service was great and the biscuits and gravy were fantastic.,,Yes,No,,,Free
17,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,8/14/2018,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,5.0,"Hands down the best breakfast and lunch restaurant in the area. Worth the wait.All the cooking is from scratch, no short cuts here.",,Yes,No,,,Free
18,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,9/3/2018,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,4.0,Good breakfast.  Long wait time.  The corned beef hash was excellent!  The biscuits were also spot on.  My wife had the veggie hash and she didn't like it.  When I tried it I found it to it have not much flavor.,,Yes,No,,,Free
19,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,8/26/2018,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,3.0,"Hit and miss. Not worth the wait or hype. Decent food. But honestly, it's nothing special.",,Yes,No,,,Free
20,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,9/26/2018,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,5.0,"Best breakfast or lunch in Salem! Always excellent- wonderfully prepared food. The staff is friendly and helpful- so nice! Usually a bit of a wait, but so worth it!",,Yes,No,,,Free
21,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,9/8/2018,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,5.0,"This is hands down the best breakfast place I have ever eaten at.  I do not say that lightly. I have been in the Resturant & hotel industry for 25 plus years and was completely blown away with the quality of food here. The service was exceptional and the atmosphere is perfect. I had the flying biscuit and breakfast will never be the same for me. I did my best to finish the enormous plate and ate myself into complete submission that I would never find a better breakfast. The hand cut house made bacon, the spectacular sausage gravy with prefect crispy fried chicken all this with an egg and melted cheddar. All I can say is WOW WOM.  Thank you",,Yes,No,,,Free
22,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,2/8/2018,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,5.0,"It's always nice coming here. Staff is super friendly. Food is amazing, and if you go on a Thursday for brunch you don't have to wait hours lol (well at least for my boyfriend and I haha) we ordered our food and quickly after we ordered we received a delicious treat on the house! Jicama slaw tostada with House made refried beans OMG delish!! Axel got the bacon cheddar avocado omelette with a home made biscuit and Yukon potatoes yum!! He also ordered a delicious! Amazing Spanish coffee! And later ordered a Salem mimosa. I ordered black coffee which was very tasty, Plate O Love with the filet mignon hash! Sooooo good! Super awesome costumer service here! And we only waited 10minutes to be seated! It has probably been at least 2+ years since I've been here, and I'm still in love with the food and the service! Thursday February 8th 12pm",,Yes,No,,,Free
23,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,8/12/2017,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,5.0,"Wow is really all I can say. My friend who lives up here in Oregon brought us here because we wanted an amazing breakfast, and that's exactly what we received. As expected (as we were told), the wait would be long... and it was. It was about an hour and 30 minutes, but they have a texting system in which they can notify you when your table is ready. We had plenty of time to kill, so we walked back into Salem where the Hooplah basketball tourney was going on (my friend participated in it), did some shopping at the local mall, and then returned in time for our table. EVERYONE here was SOOOO freakin' nice and friendly. We definitely commented on it several times, and made them aware that this kind of hospitality is truly hard to come by back home in LA. We really appreciated their efforts in making us feel welcome and since they knew 2 of us were visiting for the first time, they even brought us a complimentary pre meal dessert with white chocolate oozing off of a biscuit-type breading cake. Was delicious and so cool of them to give to us. The whole time, and with every server or staff that came by, we were always having a nice convo and I truly felt that I had one of the best breakfast experiences ever here. As for the food, our meals were extremely good! Although, it is probably not THE best I have ever had in my life, it is definitely up there in the top places I have been to. Aside from the food, experience, ambience, and other things obviously all play a factor, so I feel like this place does everything perfectly all around the board. I ordered a bacon, cheese, and avocado omelette which came out tasting just amazing, especially since they bacon they use is so thick and juicy. Take a look at the photo of my friend's HUGE breakfast sandwich... the bacon flyin' outta the sandwich is so mouth-watering! Again, I really appreciate the generosity and friendliness displayed by the staff here, and would return to this establishment in a heartbeat if I ever find myself back in Salem... or Oregon for that matter! Y'all were truly insanely nice people. Thank you again!",,Yes,No,,,Free
24,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,6/22/2018,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,5.0,"Everything here is delicious! Split the cinnamon roll pancake with the table because it's worth it. Also, the slices of bacon are about ¼"" thick. They don't skimp. Also, don't park at King Donuts. You'll get towed.",,Yes,No,,,Free
25,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,5/31/2018,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,5.0,"From the moment I walked in the door I knew I had stumbled upon a unique treasure of a dining experience. Our server was kind and conscientious about alerting us to a recent municipal water concern as well as giving us attentive service without a hovering imperious need to turn tables--truly a unique skill of balancing. The food was ample and simply divine. One can always tell when food is made by those who have a passion for cooking. I sincerely felt the love in each and every bite. My only regret is I could not finish everything and carelessly left my to-go container on the table. I can say with all certainty Even though this was a stop over meal, I am planning a trip from Seattle to Salem to specifically eat here!",,Yes,No,,,Free
26,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,8/14/2018,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,1.0,"Gluttony is the best description. Greasy, over loaded plates and not worth the wait. Very few healthy options for a variety maybe good hang over food if you can wait the hour+?",,Yes,No,,,Free
27,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,8/6/2017,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,5.0,"Disclaimer: if you are impatient and/or absolutely hate AMAZING food, don't bother going to WOM. Yes, this places has a wait, but it's for a good reason: the food is great with generous portions, and the restaurant is in a cute house. They do what they can! It's owned by a family, and they won't ever make the restaurant bigger because of the style and environment the location provides. Pro tip: get their early (or earlier than you want to eat) and put your name down. Then come back around your estimated wait time and check back in. Even if they skipped you you'll be next for a table!Also, order to go. They can do everything to go, and you don't have to wait for your food. My recommendation: the cinnamon rolls pancakes, the creme brûlée French toast, hot chocolate (see yelp pictures) or the plate of love. Y'all will be in a coma for how sweet and amazing it is.",,Yes,No,,,Free
28,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,12/28/2017,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,5.0,"This place takes your name and phone number and utilizes an online wait list so you can go do other things while you wait like driving around town playing Pokémon GO!  WOW! - The atmosphere is intimate and cute. Quirky with a side of inspiration and savory delectable menu selections! The fresh fruit cups are exceptionally fresh and fruitful. I feel required to order the fresh fruit cup as a side just to feel like a kid in a candy store eating it. :DIf you love hot chocolate, you are in for the most amazing experience involving a spattering of colorful sprinkles and a tower of whip cream! Simply divine and playful. Compare whip cream mustaches with your date! The servers know their menu so well they don't even have to write down your order. I have yet to see them not smiling! If you ask a server they will gladly help you find what you may like on the menu and give you a tidbit of history of how the wonderful Word Of Mouth ""house food"" came about. Think comfort food without the regret. You will leave feeling satisfied and fresh. That is unless you order the cinnamon roll pancake! HahaThe staff is very sweet and friendly and if you get a chance to sit up stairs, it's a wonderful quiet atmosphere and they give you a taller water glass!This place is of the best in Oregon for breakfast food! Hands down! GO HERE!",,Yes,No,,,Free
29,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,1/4/2018,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,5.0,"Oh my goodness. SO WORTH THE WAIT!! I recommend the Creme Brûlée French Toast and the Salem Mimosa! Yummy. The service was extraordinary. Very friendly and charming!The parking was minimal, so be prepared to squeeze into a tight space, bring your smaller car!!",,Yes,No,,,Free
30,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,12/18/2017,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,5.0,"When you eat here you gonna wait, so dont complain about said wait, just endure and then eat some good food.Con's:1. Kinda cramped tables packed into a small joint.2. Long wait times.3. Lack of parking (Hint: park by the donut shop)Pro's:1. Friendly & Attentive staff members2. You can be texted when your table is close to being ready3. Food is incredibly good and well made every time4. Prices are reasonable given the quantity of food.5. Menu features a wide array of options6. Service is pretty quick considering how busy they are.7. Owners cook and prepare the food for the customer8. You may or may not recieve random free food from the cooks :-)I highly recommend trying this place at least once even if you live 60 miles away please go here and try a couple things off the menu.  I have enjoyed the flying biscuit, the creme brulee french toast, and the cinnamon swirl pancakes immensely.  This place will put a smile on your grumpy face guaranteed.",,Yes,No,,,Free
31,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,8/12/2018,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,5.0,"Too bad my new favorite brunch place is a 10 hour drive away. The French toast, pancake rolls, the two different types eggs benedicts and side of thick bacon we ordered lived up to the hype. Prices are very reasonable (considering I from San Francisco) and the service was excellent.",,Yes,No,,,Free
32,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,9/26/2018,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,4.0,"Tasty! Definitely worth a half an hour wait, maybe not two hours. However, the staff is friendly and the food is scrumptious.",,Yes,No,,,Free
33,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,9/26/2018,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,5.0,Just had a breakfast at this place. Peeerfect! I really loved the cake and a coffee. Next time I'll come here again.,,Yes,No,,,Free
34,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,11/15/2017,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,5.0,"First off, I love being able to work off my yelp bookmarks.  This was bookmarked ages ago and when I needed it there it was!Secondly,  I love the fact that even if the line is long they take your name AND number to call you when your table is ready.  You can head on out and run amuck for a while knowing you will have a place to eat your breakfast here eventually. (We went next door to this small antique shop and the owner is sweet but that's another review).Thirdly,  1.5 hour wait turned into only a half hour wait. Got to love that!!!Now on to the most important - yea that would be the food.  I got the vegetarian benedict with their amazing fresh potatoes.  Divine ok? Eggs perfect too. Muffin was scrumptious. Not sure, but maybe it's homemade? I know their bread is.The restaurant is in an old house with lots of cubby holes full of people eating at their tables. We went up some stairs and were in this cute little room that had 3 small tables.  Also, the women's bathroom is the coolest place to hang out in. It's full of vintage mirrors and frames and hanging lamps. Finally, the customer service was amazing.  I was suspicious though. They were so wonderful I can't imagine they are not family to the owners. THAT is how perfect they all were.",,Yes,No,,,Free
35,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,4/30/2018,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,4.0,"If you are in the Salem area, this place is a must! The waiter gave us some recommendations and they were amazing. The bacon was to die for! We went on a Thursday, and only waited about 15 minutes for a table. Although it was a week day, it seemed pretty busy if you had a large party. The staff were awesome and super friendly. That's always a make or break it point for me. I really enjoyed looking around at the quirky decor.. I mean who doesn't love pictures of dogs everywhere! It's a super unique place that I will be coming to again!",,Yes,No,,,Free
36,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,9/3/2018,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,5.0,"Love this place. The wait can be daunting, but well worth it. I had the filet mignon hash, perfect and dining partner enjoyed the bacon omelet. When the Random Act of Yummi-Ness showed up, we knew this was a special meal.",,Yes,No,,,Free
37,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,4/26/2018,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,5.0,"This is a must if you are in Portland.  It is located in Salem Oregon 45 minutes to an hour drive from Portland.  Let me tell you it was worth the drive!!!!  Since never eating at Word of Mouth asked what they would recommend.  The one that everyone said was the Plate of Love.  When we sat down our server mentioned the Cinnamon Roll Pancake.....Whaaaat.  So we decided to get the  Cinnamon Roll Pancake as an appetizer.  It was worth every single calorie that went into my body.  Then ordered that Plate of Love.  It was a Creme Brûlée Vanilla Custard  French Toast with two eggs and get this, not a misprint Filet Mignon Hash!!!  Decided to wash all down with a cup of Joe.It was by far on of the best breakfast in any restaurant within the USA!!!!The service and employees were awesomeMy complements to the owner on a well deserved name and an awesome menu and great staffI do not live in Portland, but when traveling to Portland it will become a must for me.Chao",,Yes,No,,,Free
38,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,8/4/2018,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,5.0,"Wow...outstanding...total 5-Star breakfast.  So to begin with, I am not a patient guy and I don't ever like having to wait more than 5-10 minutes at a restaurant...and I read (and heard) that Word of Mouth was the best breakfast in Salem but there was always a wait, usually from 45-60 minutes.  So when my wife insisted we had to try it I was reluctant and not entirely supportive...and rather frustrated by the 45 minute wait.  And not only was it completely worth the wait, but my 3 kids announced after breakfast that it was AMAZING and one of the Top-3 breakfast places they have ever tried anywhere!   I admit...it rocked!  Everything we tried (five different dishes) was outstanding...truly spectacular food, service and ambiance.  We loved (and would order again)...Cinnamon Roll Pancake, Creme-Brulee French Toast, Asparagus and Brie Omelette, Pork Friend Steak, Hot Chocolate (massive and delicious) and The Works Omelette.  Loved it all...massive portions...good value...great coffee.  Wish the wait was not so long...but amazingly worth it!  5-Star experience...hope to return soon!",,Yes,No,,,Free
39,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,8/28/2018,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,5.0,"Everyone in Salem knows the food is amazing, the wait is long & they don't do dinner! Love this place!",,Yes,No,,,Free
40,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,5/9/2018,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,5.0,"OMGoodness. Of course when there is a really good gem in the City of Salem, there will always be a line out the door. Let me tell you, good things really come to those who wait. Anything on their breakfast menu is a winner for me. Be sure to ask if you could sample their French Toast Creme Brulee, you will thank me. You might feel a little guilty afterwards, but it is absolutely delectable.I have invited some family there for breakfast, and my mother went back for 2 more consecutive weekends. Great customer service for a busy bistro. Make note, after church hours on Sunday's are usually very busy. However, it would be worth the wait!",,Yes,No,,,Free
41,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,9/1/2018,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,5.0,This place makes amazing breakfast. There is always a wait but it is worth it to get their delicious food.,,Yes,No,,,Free
42,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,3/8/2018,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,5.0,"Cinnamon. Roll. Pancake.  Should be on the Food Network show ""The Best Thing I Ever Ate"".  One of the very best pancakes I have ever had, and I have had more than a few all over the world!  Seriously considering flying from California to Salem just to have another pancake.  Yes, it was that good.",,Yes,No,,,Free
